city,year,income,expend,gdp,gap,gap_to_gdp,income_growth,expend_growth,real_estate_inv,house_sales
石家庄,2020,632.19,1142.23,5935.0,510.04,0.0859376579612468,0.1108006957988509,0.0863999086923024,926.49,656.26
石家庄,2019,569.13,1051.39,5810.0,482.2600000000001,0.0830051635111876,0.095154710591133,0.0602857978439104,887.64,782.28
石家庄,2018,519.68,991.61,6082.62,471.93000000000006,0.0775866320763092,0.1275575516934626,0.2291720897946028,1010.71,844.69
石家庄,2017,460.89,806.73,6460.88,345.84000000000003,0.0535283119327398,0.1221513439813011,0.0812335817294804,1212.27,1027.34
石家庄,2016,410.72,746.12,5927.73,335.4,0.0565815244621465,0.09510731902413,0.0933923416228257,1015.77,798.42
石家庄,2015,375.05,682.39,5440.6,307.34,0.056490093004448,0.0919439834628934,0.2045931967025014,965.13,757.82
石家庄,2014,343.47,566.49,5170.27,223.02,0.0431350780520166,0.0899657273419649,0.0832791524840323,1025.33,888.26
石家庄,2013,315.12,522.94,4863.66,207.82000000000005,0.0427291381387679,0.1573380343763775,0.12680730030813,928.15,951.21
石家庄,2012,272.28,464.09,4500.2,191.81,0.042622550108884,0.2307553225150296,0.1500470833126825,833.21,768.73
石家庄,2011,221.23,403.54,4082.68,182.31000000000003,0.0446544916574407,0.3520136894212553,0.3223882553414601,789.14,922.24
石家庄,2010,163.63,305.16,3401.0,141.53000000000003,0.0416142311084975,0.2990631946649731,0.2666445293043336,538.0,469.31
石家庄,2009,125.96,240.92,3001.0,114.96,0.0383072309230256,0.1446746637586331,0.243201403581196,378.22,349.76
石家庄,2008,110.04,193.79,2838.37,83.74999999999999,0.0295063716146943,0.1478043183477626,0.1876570447999019,280.4,338.86
石家庄,2007,95.87,163.17,2360.72,67.29999999999998,0.0285082517198142,0.2391107664469431,0.2722807017543858,197.54,393.58
石家庄,2006,77.37,128.25,2026.63,50.879999999999995,0.0251057173731761,,,132.15,303.53
福州,2024,750.5,1025.48,14236.76,274.98,0.0193147879152279,-0.0047475068958201,0.0204796497163897,944.55,739.15
